filename,chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
1461_226_010_30s,0.34306663,0.08600711,1213.8217867664553,1415.5382884231822,2368.65234375,0.03579853636561533,-291.6173,165.53197,0.9654057,10.25252,17.24487,-2.459928,4.350131,-0.6424654,-9.223796,-2.1278763,4.06355,-1.4391291,-7.492044,-3.2100022,2.598751,5.3022437,3.1918485,-4.3628597,-2.8420641,2.5415635,2
1462_226_020_30s,0.31361088,0.122353286,1433.9807516570752,1564.6385174909788,2782.28317591428,0.044456458313177245,-245.7932,175.49321,-16.198315,19.016567,12.268987,-3.6256137,4.9190736,-2.019943,-3.5391111,-2.1623294,5.111067,-0.53823954,-8.0069895,-3.1043825,0.840178,3.4889343,0.14427653,-5.1345224,-3.7691212,1.6103754,2
1463_226_030_30s,0.30802935,0.12916593,1354.1709529287984,1470.4831591710008,2556.0678771405765,0.042417543960429564,-244.29988,181.56349,-14.462485,16.724371,12.5117235,-2.0914545,4.03579,-2.0995724,-3.106577,-2.79263,3.879817,-1.7849971,-6.939203,-2.0609627,0.60841906,3.8834543,-1.3481357,-6.8808455,-3.3526294,0.9734846,2
1464_226_040_30s,0.3099097,0.12588175,1374.4449103781187,1522.324347835376,2595.1676407096556,0.04316640564531734,-248.54634,179.62328,-11.235129,18.757502,12.174901,-3.3733077,0.38088658,-2.3697019,-2.615368,-2.3399081,6.859877,-2.2280815,-8.319369,-2.42954,0.019357592,5.9632416,0.30348268,-7.5542912,-2.1809049,1.6182064,2
1465_226_050_30s,0.34724388,0.09913575,1112.4401349096202,1367.1029026360436,2095.062331444708,0.03223298725328947,-281.64777,184.40292,5.556153,8.521218,14.284818,-3.9057894,-0.25309956,8.93206e-05,-7.061135,-5.7092786,6.8893504,3.350403,-7.2196193,-2.1450768,3.911648,7.60271,3.4527628,-7.7753015,-2.6022525,3.0891519,2
1466_226_060_30s,0.334808,0.109654605,1124.643402072862,1331.09185744164,2148.8036731448337,0.03285713313902864,-272.63614,184.22821,3.5653117,7.786119,15.590286,-4.7343307,-0.8620649,-1.3428676,-8.752289,-5.309758,5.791256,3.4099689,-4.428421,-1.4662371,3.8067698,8.197935,3.9908965,-7.2385097,-4.6717925,1.2128499,2
1467_226_070_30s,0.29247794,0.13562362,1379.747307541392,1547.9839249961433,2595.2343069732005,0.042891652960526314,-239.3688,179.87529,-12.256632,14.195853,9.992397,-0.10612965,2.8828442,-4.1841073,-4.1680098,-5.030604,4.7560296,1.7985765,-4.9003806,-0.85180247,2.8942547,5.521389,-1.3334175,-8.154601,-4.857548,1.1631049,2
1468_226_080_30s,0.28959543,0.14042222,1386.0473615544463,1496.1958342399396,2622.484142197175,0.044328719100715945,-235.53256,182.60947,-16.339884,12.838625,13.022311,-0.3329496,-1.3594795,-5.63925,-1.3506895,-4.894372,1.7729485,2.7210379,-2.9143047,-2.4762104,0.47481576,4.2469435,-0.11501792,-6.7033124,-5.2594376,1.6616911,2
1469_226_090_30s,0.29639056,0.12941916,1489.3399473290215,1624.7343613608807,2846.9994512504836,0.04715145335477941,-232.3361,179.08499,-18.374441,16.246023,8.41267,-2.1489496,0.3910277,-5.817066,0.5914798,-3.559816,2.3902874,1.5148709,-5.629656,-2.4406927,1.1875527,5.2024837,0.80385154,-5.804361,-2.141747,2.68889,2
1470_226_100_30s,0.34266192,0.10260466,1229.4081652555813,1442.4338468069857,2368.7023434476587,0.03668288475957817,-264.57422,181.2211,-0.8436478,8.084752,10.639937,-4.4557257,-0.6358386,-2.8188617,-3.0565252,-3.2816086,4.149908,2.5733697,-7.3081484,-3.4000056,1.1930578,6.2053833,5.185723,-6.739862,-2.9039803,4.432956,2
1471_226_110_30s,0.35030937,0.10450877,1225.5548020791066,1427.8497630520449,2428.310316339735,0.03690189326141641,-269.46057,179.37158,-3.2099814,8.345161,16.701729,-2.1007216,-0.71420825,-2.328101,-4.1559834,-4.272939,3.3888443,1.4121758,-8.320545,-1.6658994,4.458755,6.8651533,5.296964,-6.3700128,-3.5172932,5.215298,2
1472_226_120_30s,0.32257313,0.12164734,1286.082795441865,1459.9561859352934,2527.593049323965,0.040044542436629256,-259.85547,177.52266,-6.7026134,13.678381,16.907862,-0.04932028,1.6755692,-1.9463423,-3.8510644,-5.05797,3.095127,-0.70759046,-9.09606,-0.46522787,5.699923,5.541129,0.50919336,-7.3342013,-3.6526349,3.6328862,2
1473_226_130_30s,0.29798824,0.13724142,1403.2115452367723,1499.931352330202,2721.850208010836,0.046171489514802634,-241.94138,179.61723,-16.009455,14.85063,14.271515,1.6863288,2.5643728,-2.6707122,-2.1985521,-6.0632763,0.48291752,-2.7422206,-6.2121468,1.2740189,6.0366364,6.2536774,-1.7249458,-6.025976,-2.5750172,1.6972533,2
1474_226_140_30s,0.30013996,0.12997133,1489.7520634171053,1661.8147034551948,2959.998767959075,0.04746721108262384,-249.62785,170.32822,-13.898843,25.332977,10.568259,-4.302505,3.8242867,-2.5049243,-1.2521453,-2.76588,1.5440772,-6.2233834,-10.75565,1.0608772,7.3138986,4.706727,-1.5492293,-5.002882,-3.8802872,1.7731986,2
1475_226_150_30s,0.32927394,0.10945933,1437.3763705643094,1650.9978321756557,2859.0327118203368,0.044993303139512386,-264.66238,168.21663,-9.538035,22.323378,13.971297,-4.1445684,-0.53580797,-4.9028077,-0.4284111,-0.77756435,1.6785518,-3.0996926,-9.234647,-1.7426237,4.7300253,5.151379,2.5857494,-3.6531057,-5.3532104,-0.02191035,2
1476_226_160_30s,0.35978293,0.10051968,1233.9733475073608,1506.167048142971,2471.4183890044505,0.03613035597668344,-286.03995,169.57988,7.198986,17.380896,15.120649,-2.5389402,0.040461916,-4.8282347,-4.9217563,-0.36514688,5.093844,-1.2895222,-8.791318,0.12735987,4.2846203,4.232091,5.641556,-3.04964,-4.6237755,1.1732152,2
1477_226_170_30s,0.35842356,0.11086841,1118.781526016335,1428.7684273005127,2151.428657271914,0.03175491002321981,-285.1486,173.46004,10.850944,15.13589,16.517494,-2.7125103,-1.2908345,-1.3958397,-7.071924,-5.111646,8.5112295,5.667585,-4.538358,0.79926914,3.9407654,4.5212975,6.418604,-2.8795717,-5.3832684,1.9698358,2
1478_227_000_30s,0.30722156,0.0568602,2453.289626605403,2175.0121605995782,4796.237664473684,0.06299470600328948,-301.7895,109.74562,-23.519299,32.576077,13.267879,3.059707,13.303923,-9.955849,-5.7018433,-0.022638185,-5.721996,4.498883,9.139157,0.37575662,4.3253946,0.683002,-6.197051,-0.6246582,-4.065864,3.22731,2
